pcf_id,year_of_reporting,product_name,product_detail,company,country,company's_gics_industry_group,company's_gics_industry,company's_sector,product_weight,product's_carbon_footprint,carbon_intensity
10056,2014,Frosted Flakes(R) Cereal,"Frosted Flakes(R), 23 oz., Produced in Lancaster, PA (One Carton)",Kellogg Company,USA,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.7485,2.0,2.67
10056,2015,"Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)",Cereal,Kellogg Company,USA,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.7485,2.0,2.67
10222,2013,Office Chair,Field not included in 2013 data,KNOLL INC,USA,Capital Goods,Building Products,Comm. equipm. & capital goods,20.68,72.54,3.51
10261,2017,Multifunction Printers,bizhub C458,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,1488.0,13.53
10261,2017,Multifunction Printers,bizhub C558,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,1818.0,16.53
10261,2017,Multifunction Printers,bizhub C658,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,2274.0,20.67
10324,2016,KURALON  fiber,Raw material for tire reinforcing materials,"Kuraray Co., Ltd.",Japan,Materials,Chemicals,Chemicals,1500.0,10000.0,6.67
10418,2013,Portland Cement,Field not included in 2013 data,Lafarge S.A.,France,Materials,Construction Materials,Construction & commercial materials,1000.0,1102.0,1.1
10661,2014,Regular Straight 505® Jeans – Steel (Water<Less™),BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,15.0,19.57
10661,2015,Regular Straight 505® Jeans – Steel (Water<Less™),BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,15.0,19.57
10661,2016,Regular Straight 505® Jeans – Steel (Water<Less™),,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,15.0,19.57
10661,2014,501® Original Jeans – Rinse Run,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,15.0,15.05
10661,2015,501® Original Jeans – Rinse Run,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,16.0,16.05
10661,2014,501® Original Jeans – Dark Stonewash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,16.0,16.05
10661,2015,501® Original Jeans – Dark Stonewash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,16.0,16.05
10661,2016,501® Original Jeans – Dark Stonewash,,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,16.0,16.05
10661,2014,Slim Straight 514™ Jeans – Indigo Wash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,8.6,12.65
10661,2015,Slim Straight 514™ Jeans – Indigo Wash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,8.6,12.65
10661,2016,Slim Straight 514™ Jeans – Indigo Wash,,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.88,8.6,9.77
10661,2014,Slim Straight 514™ Jeans – Rigid Tank,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,7.7,11.32
10661,2015,Slim Straight 514™ Jeans – Rigid Tank,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,7.7,11.32
10661,2016,Slim Straight 514™ Jeans – Rigid Tank,,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.88,7.7,8.75
10661,2014,501® Original Jeans – Light Stonewash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,15.0,15.05
10661,2015,501® Original Jeans – Light Stonewash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,15.0,15.05
10661,2014,501® Original Jeans – Medium Stonewash,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,16.0,16.05
10661,2015,501® Original Jeans – Medium Stonewash,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,16.0,16.05
10661,2014,Slim Straight 514™ Jeans – Tumbled Rigid,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,16.0,23.53
10661,2015,Slim Straight 514™ Jeans – Tumbled Rigid,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,16.0,23.53
10661,2014,Regular Straight 505® Jeans – Range (Water<Less™),BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,16.0,20.87
10661,2015,Regular Straight 505® Jeans – Range (Water<Less™),BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,16.0,20.87
10661,2014,Regular Straight 505® Jeans – Range,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,16.0,20.87
10661,2015,Regular Straight 505® Jeans – Range,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,16.0,20.87
10661,2014,Regular Straight 505® Jeans – House Cat,BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,15.0,19.57
10661,2015,Regular Straight 505® Jeans – House Cat,BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,16.0,20.87
10666,2014,MS315DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.03449,1616.172,100.79
10666,2014,MS410DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.898413,1523.19,95.81
10666,2014,CX310DN - Color Laser Printer,Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",31.365912,2358.38,75.19
10666,2014,MS415DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.03449,1524.56,95.08
10666,2014,MS510DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",16.66952,1617.69,97.04
10666,2014,MS610DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",18.37049,1978.08,107.68
10666,2014,MS610DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",17.576704,1957.73,111.38
10666,2014,MS810DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.4877,2106.94,76.65
10666,2014,MS810DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,2005.36,73.08
10666,2014,MS811DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,2387.57,87.0
10666,2014,MS812DE - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.75985,2744.39,98.86
10666,2014,MS812DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",27.44234,2747.47,100.12
10666,2014,MX310DN - Mono Laser Printer,Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",22.45282,1140.41,50.79
